TIME,GEO,NUTRIENT,UNIT,Value,Flag and Footnotes
2012,Cyprus,Nitrogen,Tonne,8319,e
2012,Cyprus,Phosphorus,Tonne,2143,
2012,Latvia,Nitrogen,Tonne,65204,
2012,Latvia,Phosphorus,Tonne,8648,
2012,Lithuania,Nitrogen,Tonne,150000,e
2012,Lithuania,Phosphorus,Tonne,17000,e
2012,Luxembourg,Nitrogen,Tonne,13675,
2012,Luxembourg,Phosphorus,Tonne,517,
2012,Hungary,Nitrogen,Tonne,312940,
2012,Hungary,Phosphorus,Tonne,25735,
2012,Malta,Nitrogen,Tonne,548,
2012,Malta,Phosphorus,Tonne,28,
2012,Netherlands,Nitrogen,Tonne,199520,
2012,Netherlands,Phosphorus,Tonne,4611,
2012,Austria,Nitrogen,Tonne,107895,
2012,Austria,Phosphorus,Tonne,12301,
2012,Poland,Nitrogen,Tonne,1094673,
2012,Poland,Phosphorus,Tonne,161883,
2012,Portugal,Nitrogen,Tonne,108484,
2012,Portugal,Phosphorus,Tonne,14477,
2012,Romania,Nitrogen,Tonne,289963,
2012,Romania,Phosphorus,Tonne,49353,
2012,Slovenia,Nitrogen,Tonne,26300,
2012,Slovenia,Phosphorus,Tonne,3882,
2012,Slovakia,Nitrogen,Tonne,101004,
2012,Slovakia,Phosphorus,Tonne,8369,
2012,Finland,Nitrogen,Tonne,138900,
2012,Finland,Phosphorus,Tonne,10600,
2012,Sweden,Nitrogen,Tonne,148100,
2012,Sweden,Phosphorus,Tonne,10400,
2012,United Kingdom,Nitrogen,Tonne,1000196,
2012,United Kingdom,Phosphorus,Tonne,82050,
2012,Norway,Nitrogen,Tonne,94242,
2012,Norway,Phosphorus,Tonne,8350,
2012,Switzerland,Nitrogen,Tonne,47200,
2012,Switzerland,Phosphorus,Tonne,4803,
2012,Turkey,Nitrogen,Tonne,1431946,
2012,Turkey,Phosphorus,Tonne,232347,
